"pnr","preis"
"3827411645","0.00"
"3134843080","0.00"
"3522106202","0.00"
"352210580X","0.00"
"3522105907","0.00"
"3522110803","0.00"
"3522115201","0.00"
"3446206477","0.00"
"3423622245","0.00"
"3401027050","0.00"
"3898132730","0.00"
"3522177509","0.00"
"3522176847","0.00"
"3791530127","0.00"
"3898134709","0.00"
"3423708921","0.00"
"3423708034","0.00"
"3453867920","0.00"
"3453152271","0.00"
"3446206418","0.00"
"3446205136","0.00"
"3446206027","0.00"
"3789140244","0.00"
"3928885014","0.00"
"3928885030","0.00"
"3596803926","0.00"
"3789105090","0.00"
"3423621559","0.00"
"3423620927","0.00"
"3440102041","0.00"
"344010205X","0.00"
"3440102076","0.00"
"3440102084","0.00"
"3440102092","0.00"
"3505120456","0.00"
"3505120464","0.00"
"3423709472","0.00"
"3791530127","0.00"
"3791530143","0.00"
"3938333006","0.00"
"3802533976","0.00"
"380253395X","0.00"
"3446205160","0.00"
"3423621915","0.00"
"355155286X","0.00"
"3551552835","0.00"
"3551552851","0.00"
"3551552878","0.00"
"3423709634","0.00"
"3522115201","0.00"
"352210580X","0.00"
"3522105907","0.00"
"3522106202","0.00"
"3522110803","0.00"
"3522119800","0.00"
"3809408247","0.00"
"3933241553","0.00"
"3809412708","0.00"
"3809414263","0.00"
"380941834X","0.00"
"3866151152","0.00"
"386615111X","0.00"
"3866151128","0.00"
"3866151136","0.00"
"3866151179","0.00"
"3866151470","0.00"
"3866151020","0.00"
"3866151039","0.00"
"3866151047","0.00"
"3866151055","0.00"
"3866151063","0.00"
"3866151071","0.00"
"357012990X","0.00"
"3570129926","0.00"
"3570129977","0.00"
"3570129993","0.00"
"3431035132","0.00"
"343103196X","0.00"
"3431035620","0.00"
"3431036341","0.00"
"3522177231","0.00"
"352217710X","0.00"
"3522177258","0.00"
"3522177592","0.00"
"3920524527","0.00"
"3785546203","0.00"
"378554393X","0.00"
"3785546238","0.00"
"3785547951","0.00"
"3473580082","0.00"
"3473582123","0.00"
"3499213362","0.00"
"3499205823","0.00"
"3499208555","0.00"
"3499212129","0.00"
"3492234585","0.00"
"3440102033","0.00"
"344010205X","0.00"
"3440102076","0.00"
"3440102084","0.00"
"3440102092","0.00"
"3401044923","0.00"
"3401044915","0.00"
"3401045512","0.00"
"3570128970","0.00"
"3800050021","0.00"
"3800020432","0.00"
"3800020874","0.00"
"3870676590","0.00"
"3870677376","0.00"
"352817028X","0.00"
"3821228482","0.00"
"3833900903","0.00"
"3789142115","0.00"
"3789105244","0.00"
"3791504592","0.00"
"3791504606","0.00"
"3570129977","0.00"
"3570129993","0.00"
"3570130177","0.00"
"3423078006","0.00"
"3473580031","0.00"
